iteration time doc.count score word.count unseen.score unseen.word.count
1 3 16 -1695906479.28460 943682 -1695906479.28460 943682
2 7 32 -57174649.36255 1225308 -52097860.38843 1035531
3 11 48 -17101040.12519 1158917 -15928210.10448 1075318
4 15 64 -12285769.07548 1111452 -8104990.51086 726674
5 19 80 -13349734.85831 1275192 -10138213.61181 969758
6 23 96 -10730887.24930 1102717 -9650505.15376 988636
7 27 112 -9990061.02260 1082703 -4573320.69264 491079
8 31 128 -10494713.70567 1154358 -4174187.93405 464785
9 35 144 -11558223.65352 1284082 -2263806.66337 248690
10 39 160 -11278504.75041 1278147 -4949950.53333 553121
11 43 176 -9115990.41039 1033540 -3833035.07708 433899
12 47 192 -12841667.84935 1474057 -1851507.08852 209379
13 51 208 -10701207.05299 1235077 -839045.91470 97305
14 55 224 -10798458.61810 1255156 -422935.40589 47678
15 59 240 -8291463.36761 966412 -1564165.45970 178235
16 63 256 -9672630.84386 1130473 -771529.37755 90485
17 67 272 -10231905.57552 1205894 -1713549.01898 198164
18 71 288 -8931274.69195 1051170 -448044.96503 51478
19 75 304 -8444494.98442 992279 -1530698.15807 178523
20 79 320 -9729076.89891 1144508 -453435.61653 52220
21 83 336 -8521458.55726 1001523 -681228.13550 79208
22 87 352 -11628503.78575 1379956 0.00000 0
23 91 368 -8143049.02919 959090 -354598.65188 42746
24 94 384 -8135172.16632 965864 0.00000 0
25 98 400 -7871195.34323 930236 -248214.58689 29581
26 103 416 -11089235.34589 1307687 0.00000 0
27 107 432 -9653729.25193 1144263 -792768.48435 93667
28 110 448 -9422094.78602 1121495 -673270.98246 81362
29 114 464 -9132560.25401 1087663 0.00000 0
30 118 480 -7928253.53185 950534 0.00000 0
31 122 496 -12626876.88112 1508722 0.00000 0
32 126 512 -11050526.77137 1327608 0.00000 0
33 130 528 -10243081.88726 1233284 0.00000 0
34 134 544 -9056645.37160 1079934 0.00000 0
35 138 560 -9642529.83745 1154755 0.00000 0
36 142 576 -8250949.53943 989521 0.00000 0
37 145 592 -9939863.01682 1187803 0.00000 0
38 150 608 -12401226.33915 1486460 0.00000 0
39 154 624 -10666953.09294 1280328 0.00000 0
40 157 640 -8166873.73166 987813 0.00000 0
41 161 656 -10866293.12897 1310579 0.00000 0
42 165 672 -7946266.52133 950192 0.00000 0
